No,Nama User,Nama Produk,Varian Produk,Link Produk,Rating,Tanggal,Ulasan
65,Akok,Null,Null,https://www.tokopedia.com/orico/orico-charger-20w-type-c-pd-qc-3-0-pv20-c,5,2025-04-17,"pelayanan seller sangat baik, nanya² rekomendasi dijawab dengan baik..
saya beli untuk samsung & ip, adaptor orico 20W.

semoga awet."
66,Akok,Null,Null,https://www.tokopedia.com/orico/orico-type-c-to-type-c-pd100w-fast-charge-data-cable-150cm-c2cz-15,5,2025-04-17,"kabel tebal, kelihatannya bahan kabel juga kualitas premium..
ada pengikat kabelnya."
67,Akok,Null,Null,https://www.tokopedia.com/orico/orico-foldable-laptop-stand-233-260-87mm-ma15,5,2025-04-17,"build quality bagus.. kokoh, full metal.. pas banget untuk laptop ukuran 14"".

awalnya sempat ada masalah, ada part yg kurang sehinggak ga bisa dirakit, DM ke seller..."
68,Akok,Null,Null,https://www.tokopedia.com/orico/orico-adjustable-laptop-stand-pfb-a21,5,2025-04-17,"stand laptop lipat, build quality bagus. permukaan full karet jadi tidak kawatir bikin laptop lecet..

ada sarung untuk penyimpanan juga.. keren Orico"
69,Paulus,ORICO OTG Micro USB to USB3.0 Adapter - CBT-UM01,Varian: Black,https://www.tokopedia.com/orico/orico-otg-micro-usb-to-usb3-0-adapter-cbt-um01,5,2025-04-17,"pengiriman cepat, kemasan aman, sudah di coba pakai hp, berfungsi dengan baik. terima kasih."
70,AkFis,ORICO Laptop Stand - PFB-A23,Varian: Putih,https://www.tokopedia.com/orico/orico-laptop-stand-pfb-a23,5,2025-04-17,kualitas oke mayan kokoh. yang bikin kesel kurir jne nya sih lama bgt ga dianter2
71,Wira,Null,Null,https://www.tokopedia.com/orico/orico-computer-host-bracket-with-wheels-cpb1,5,2025-04-17,"terima kasih, produk tiba dengan baik ya."
72,A***n,Null,Null,https://www.tokopedia.com/orico/orico-ethernet-network-cable-cat6-gigabit-lan-2m-pug-c6-20,5,2025-04-17,"Berfungsi dengan baik dan pengiriman cepat, terima kasih"
73,fajar,Null,Null,https://www.tokopedia.com/orico/orico-2-5-inch-hard-drive-protection-bag-phm-25,5,2025-04-10,"barangnya bagus, agak kokoh, besar penyimpanannya. cocok buat yang set up powerbank, HDD 2.5, sata, dap, atau set up iem kalian."
74,I***n,ORICO Laptop Stand - PFB-A23,Varian: Hitam,https://www.tokopedia.com/orico/orico-laptop-stand-pfb-a23,5,2025-04-10,"Sesuai harga lah. Plastik, kurang lebar tapi cukup (kalo laptop 15 inch ketar ketir si)"
